작가,작품수,평균문장길이_자수,문장길이편차_자수,평균문장길이_어절,평균어절길이_글자수,어휘다양도_TTR,명사_TTR,용언_TTR,명사형종결_비율,계사형종결_비율,동사형종결_비율,기타종결_비율,명사_비율,동사_비율,형용사_비율,수식언_비율,조사_비율,어미_비율,일반명사_비율,의존명사_비율,일반동사_비율,보조동사_비율,일반형용사_비율,보조형용사_비율,관형사형어미_비율,명사형어미_비율,주요종결어미
공선옥,10,24.75215806637253,23.989918066789762,8.552273163245731,2.894739203589456,0.17396208144209052,0.3174071987941552,0.2566192935586972,0.02971271153089335,0.19421487603305784,0.6375442739079102,0.13852813852813853,0.24745586307917664,0.12329427183717524,0.015573201757767326,0.05687687919204379,0.16181289029373216,0.227016035772107,0.18113483925680363,0.02681944337367975,0.09597371058515149,0.027320561252023746,0.015573201757767326,0.0,0.05219335440598258,0.004625703492406137,"다/EF, ᆫ다/EF, 어/EF"
구효서,2,26.008890300047625,27.83525885492052,8.889347515478647,2.928621225934467,0.11886128057286116,0.2627611941806045,0.17151574437728578,0.030942622950819672,0.24487704918032788,0.5745901639344262,0.14959016393442623,0.23601592194654775,0.10480950528237512,0.020059557657199294,0.05158920180767965,0.1608730134977404,0.24073713823960735,0.1516924550324724,0.03398377876874271,0.07922814473408553,0.025581360548289588,0.020059557657199294,0.0,0.055981204920240626,0.003726094633825158,"다/EF, 습니다/EF, ᆸ니다/EF"
김경,7,23.443646271984147,14.45867780147533,8.064899677978698,2.907052463447598,0.16790508480800304,0.31821575125700413,0.28706670198560297,0.034670116429495475,0.22820181112548513,0.6018111254851229,0.13531694695989652,0.2583951359657914,0.10863900581278814,0.01722456070020712,0.04300126945947752,0.1751987706287165,0.2320438297588027,0.17511859424066278,0.029999331863432885,0.08052381906861762,0.028115186744170507,0.01722456070020712,0.0,0.0598783991447852,0.00485067147724995,"다/EF, ᆫ다/EF, 죠/EF"
김동리,3,33.587229190421894,27.403038911431906,11.96351197263398,2.812297116669849,0.20032136361673056,0.3399902001783293,0.3196886573231344,0.027096774193548386,0.18580645161290324,0.6761290322580645,0.11096774193548387,0.25778112449799195,0.12056559571619813,0.01179718875502008,0.05651773761713521,0.1715194109772423,0.218415327978581,0.1906793842034806,0.02635542168674699,0.09563253012048192,0.0249330655957162,0.01179718875502008,0.0,0.05471887550200803,0.0044762382864792505,"다/EF, ᆫ다/EF, 어/EF"
김동인,5,22.821590909090908,19.03677630310507,8.224431818181818,2.778308086048281,0.19737206560164097,0.355800256157471,0.3138750671126986,0.0603290676416819,0.1663619744058501,0.64411943936624,0.1291895185862279,0.24683103917712904,0.11332627439116624,0.014702768113749811,0.06183633338375435,0.1726818938133414,0.21185902284072,0.1790349417637271,0.023506277416427166,0.09166540614127969,0.021660868249886552,0.014702768113749811,0.0,0.05433368628044169,0.004719407048857964,"다/EF, 습니다/EF, ᆫ다/EF"
김성동,10,26.14699265036748,32.454042565394744,8.50689965501725,3.086847580680862,0.17267255198660014,0.34416593852084343,0.2536486345980672,0.061129407984577076,0.2426700939834525,0.5354646959595148,0.1607358020724556,0.25528350052133897,0.11969223025204041,0.016542623952827816,0.0496134900945601,0.14582749074173948,0.22879229137453708,0.19825980656527523,0.02624312371912415,0.09670657606155394,0.022985654190486465,0.016542623952827816,0.0,0.05613562003379714,0.0034588142235645204,"다/EF, 습니다/EF, 어요/EF"
김성한,3,19.11813186813187,14.396267862825253,6.597985347985348,2.9190436241610738,0.2528432419944084,0.4690971008482052,0.4110466552695046,0.02321083172147002,0.2437137330754352,0.6083172147001934,0.12475822050290135,0.24434415321414107,0.10981889718220217,0.013944338367181624,0.057397442573627264,0.15801654805300006,0.21801770525950356,0.1784991031649598,0.02754151478331308,0.0919979170282937,0.017820980153908466,0.013944338367181624,0.0,0.04287450095469537,0.002430133657351154,"다/EF, ᆸ니다/EF, 지/EF"
김소진,9,27.752743404155964,21.505007888688446,9.533037590473967,2.9439518525856943,0.25624243232293104,0.48184480715825134,0.3810757879571931,0.03571428571428571,0.2306949806949807,0.5982142857142857,0.13537644787644787,0.27177275912251386,0.12041179324098529,0.011599202285344688,0.05715517706031369,0.15997412817334125,0.21918827143858136,0.2050881259095564,0.026777340591818036,0.09801110332560772,0.022400689915377567,0.011588422357570204,1.0779927774483912e-05,0.05640058211609982,0.004268851398695628,"다/EF, 어/EF, 야/EF"
김승옥,2,21.26,21.10412576104329,7.568965517241379,2.812169312169312,0.14068688186535303,0.27937517192298855,0.24154004956924663,0.01740391588107324,0.1696881798404641,0.5939086294416244,0.2189992748368383,0.23072203688791748,0.11212086353004333,0.016028221941025347,0.047471145366003296,0.16357989186701943,0.2315656275163925,0.15583419609647609,0.0247708884543119,0.07895241381954829,0.033168449710495033,0.016028221941025347,0.0,0.04950343188005675,0.004831473599447832,"다/EF, ᆸ니다/EF, 습니다/EF"
김영현,8,26.796121416526137,18.320955808003475,9.145868465430016,2.9356525273425955,0.1665672792687422,0.3421825214768207,0.2512763761509782,0.019333678577593646,0.20852753322976006,0.6266183324702227,0.14552045572242361,0.2465109198993735,0.11932573827492829,0.01572689836401801,0.05200371741255268,0.16520854363953916,0.23784229838645068,0.18142415356759442,0.023450143408803217,0.08880930635004566,0.03051643192488263,0.01572689836401801,0.0,0.056273934849140346,0.004446474066240446,"다/EF, 습니다/EF, 어/EF"
김원우,5,31.778492008339125,37.15236498520926,10.822793606671299,2.9450491064240865,0.15447007964937765,0.3357816671694459,0.2142289044150135,0.018515019837521254,0.2909503117324769,0.5743434725108634,0.11619119591913848,0.2582431238263559,0.10141665746161493,0.017563238705401524,0.057170275046945766,0.15879404617253948,0.218290898044847,0.1915663316027836,0.027601347619573623,0.07643184579697337,0.024984811664641556,0.017563238705401524,0.0,0.054077377664862473,0.005177841599469789,"다/EF, 어요/EF, 어/EF"
김원일,2,21.376,14.275538085703237,7.792,2.7443510737628385,0.1797677782579468,0.33755247347834805,0.27675493965553366,0.033860045146726865,0.17531978931527464,0.6832204665161776,0.10759969902182091,0.25212075848303395,0.12720392548236858,0.019003659347970724,0.05846640053226879,0.16957751164337992,0.22276280771789753,0.1906187624750499,0.02619760479041916,0.1052478376580173,0.021956087824351298,0.019003659347970724,0.0,0.0499001996007984,0.0039504324683965406,"다/EF, ᆫ다/EF, 어/EF"
김유정,13,23.869970267591675,19.732033895275702,8.901883052527255,2.6828257624702028,0.23430395349655767,0.41107475813663774,0.34378621184347274,0.03666749812920928,0.19580942878523322,0.645796956847094,0.12172611623846345,0.2335373808329152,0.13655795283492222,0.013778223783241344,0.0775213246362268,0.1534671349724034,0.22478675363773207,0.16795785248369294,0.029422980431510287,0.11688911189162067,0.019668840943301555,0.013758153537380833,2.0070245860511792e-05,0.04301053687907677,0.0034420471650777724,"다/EF, ᆫ다/EF, 지/EF"
